COVERAGE,YEAR,MONTH,DATE,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,April,01/04/2001,Steel Metals and Minerals,Manganese,Tons,3591,3396.707,25.362,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Sulfur,Tons,75294,50278.837,86.786,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Graphite,Tons,2406,5112.061,399.391,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Barite,Tons,10817,7829.382,92.673,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Dolomite,Tons,62833,12503.667,61.102,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Fluorite,Tons,52457,54754.583,59.517,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Kaolin,Tons,7803,5495.84,110.041,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Silica Sand,Tons,143599,29827.268,62.006,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Gypsum,Tons,287391,34659.118,67.159,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Phosphate Rock,Tons,87414,31022.873,108.242,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Wollastonite,Tons,1055,2058.448,27.026,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Celestite,Tons,12459,6540.227,504.737,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Feldspar,Tons,26516,11468.6,71.421,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Salt,Tons,657297,73610.691,89.543,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Diatomite,Tons,3578,6389.592,33.404,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Sodium Sulfate,Tons,32500,24973,63.107,Final Figures.
National,2001,April,01/04/2001,Non-Metallic Minerals,Magnesium Sulfate,Tons,1887,1635.673,52.596,Final Figures.
National,2001,May,01/05/2001,Precious Metals,Gold,Kilograms,2256.8,181313.677,53.775,Final Figures.
National,2001,May,01/05/2001,Precious Metals,Silver,Kilograms,261167,341066.071,117.465,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Lead,Tons,12097,51602.016,144.119,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Copper,Tons,27955,457227.676,124.883,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Zinc,Tons,37722,352265.845,113.933,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Antimony,Tons,1,0,3.158,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,239,1733.774,559.064,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,144,10991.824,152.65,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Tin,Tons,0,0.047,0,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,99,474.793,76.645,Final Figures.
National,2001,May,01/05/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,470,22890.528,72.197,Final Figures.
National,2001,May,01/05/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,544946,164737.302,62.862,Final Figures.
National,2001,May,01/05/2001,Steel Metals and Minerals,Coke,Tons,187712,277308.815,145.57,Final Figures.
National,2001,May,01/05/2001,Steel Metals and Minerals,Iron Pellets,Tons,475902,101552.667,73.917,Final Figures.
National,2001,May,01/05/2001,Steel Metals and Minerals,Manganese,Tons,1264,1170.135,8.927,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Sulfur,Tons,76931,50277.668,88.672,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Graphite,Tons,2833,5891.056,470.273,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Barite,Tons,10339,7323.951,88.578,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Dolomite,Tons,54890,10923.11,53.378,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Fluorite,Tons,66503,67936.707,75.454,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Kaolin,Tons,7809,5351.843,110.126,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Silica Sand,Tons,144625,29230.724,62.449,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Gypsum,Tons,369144,43318.687,86.263,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Phosphate Rock,Tons,82481,28648.596,102.134,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Wollastonite,Tons,1486,2899.388,38.067,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Celestite,Tons,15186,7971.739,615.212,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Feldspar,Tons,27323,11565.9,73.594,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Salt,Tons,716652,80257.857,97.629,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Diatomite,Tons,3878,6925.332,36.205,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Sodium Sulfate,Tons,45000,34578,87.379,Final Figures.
National,2001,May,01/05/2001,Non-Metallic Minerals,Magnesium Sulfate,Tons,2022,1752.692,56.358,Final Figures.
National,2001,June,01/06/2001,Precious Metals,Gold,Kilograms,2001.5,158823.824,47.7,Final Figures.
National,2001,June,01/06/2001,Precious Metals,Silver,Kilograms,192772,246105.809,86.703,Final Figures.
